,Category,Question
2,Reporting ,when was the first case of coid ieniied
3,Reporting ,Owhen was the first case of covid idyenwtif&ied
4,Reporting ,whne was the ifrst case of covid identified
5,Reporting ,whne was the ifrst case of covid identified
6,Reporting ,when was the first lawsuit of covid identified
7,Reporting ,when was the first of covid
8,Reporting ,then was the Fist case of covid identified
9,Reporting ,when was the first c ase of co vid identified
0,Reporting ,where and wben was vovid first identified
1,Reporting ,where and wheq was covid first idendifve$
2,Reporting ,whre and whn was covid first identified
3,Reporting ,where and whemn was covi3d first identified
4,Reporting ,where and when was covdi first iedtnfiied
5,Reporting ,where and when was covdi first iedtnfiied
6,Reporting ,where and when was covid first of all identified
7,Reporting ,where and when covid first
8,Reporting ,where um when whas covid first identified
9,Reporting ,where and when was covid fi rst identif ied
0,Reporting ,are c)vid cases going down
1,Reporting ,are covid cases going doun
2,Reporting ,are covid cases goin down
3,Reporting ,are covid cases going dohwn
4,Reporting ,are covid cases going donw
5,Reporting ,are covid cases going donw
6,Reporting ,are covid cases going down
7,Reporting ,covid cases going down
8,Reporting ,a covid cases going down
9,Reporting ,are covid c ases going down
0,Reporting ,how lonH did it takd to identify the Sause of covid
1,Reporting ,how lonQ did it take to iZeneify the cause of covi+
2,Reporting ,how long did it tak to identi the cause of cvid
3,Reporting ,how tlong did it takwe to idenMtif9y the cause of covid
4,Reporting ,how logn did it atke to identify the casue of covid
5,Reporting ,how logn did it atke to identify the casue of covid
6,Reporting ,how long do it consider to identify the cause of covid
7,Reporting ,long did it take to cause of covid
8,Reporting ,how lonh did it take tj indetify the cause of covid
9,Reporting ,how long did it ta ke to ide ntify the cau se of covid
0,Reporting ,is theTe underreporting of civid cases in specific couBhries or worldwide
1,Reporting ,is there inderrepor&SnZ of covid cases in specific hou0tries or sorldHide
2,Reporting ,is there undreoting of coid cases in specif countries or worldwide
3,Reporting ,is there underreporting of c5ovid cWases in specific countries or woIrlWdwide
4,Reporting ,is three nuedrreprotign of covid cases in specific conutrise or worldwide
5,Reporting ,is three nuedrreprotign of covid cases in specific conutrise or worldwide
6,Reporting ,is there underreporting of covid slip in specific countries oregon worldwide
7,Reporting ,there underreporting of covid cases in countries or worldwide
8,Reporting ,is there underreporting of covid cases in specifc countyrs og worldwide
9,Reporting ,is there underrep orting of covid cas es in specific co untries or worldwide
0,Reporting ,whzt plaYf*rm was instrumental in rapid sTqring of covid information
1,Reporting ,whnt platf1rX was instrumental in rapid sharing of cEvid information
2,Reporting ,wha plafom was instrumental in apid sharing of covid information
3,Reporting ,what platfoerFm was LinstrumeEntWal in rap(id sharing of covid information
4,Reporting ,what palftorm was instrumental in arpid sharing of covid informatino
5,Reporting ,what palftorm was instrumental in arpid sharing of covid informatino
6,Reporting ,what platform be instrumental in rapid sharing of covid information
7,Reporting ,what platform instrumental in sharing of covid
8,Reporting ,what flatform wass instrumental in rapid sharing of covid infromation
9,Reporting ,what platform was instrumental in ra pid sh aring of covid informat ion
0,Reporting ,can siKeone cpnt4act covid and not die
1,Reporting ,can someone co+traJt covic and not die
2,Reporting ,can somon contract ovid and not die
3,Reporting ,can someone contrabcWt coviJd and not die
4,Reporting ,can seomone cotnrcat covid and not die
5,Reporting ,can seomone cotnrcat covid and not die
6,Reporting ,bum someone contract covid and non die
7,Reporting ,can contract covid and not
8,Reporting ,can someone contract covid and no dye
9,Reporting ,can some one con tract covid and not die
0,Reporting ,does Xhina gKve cogrevt information to other countries on covid
1,Reporting ,does china Aive correct information to othSr c7untrils on covid
2,Reporting ,doe chin give correct information to othe countries on covid
3,Reporting ,does china gIive correct information to other countbrieMs on cov&id
4,Reporting ,dose china give croretc information to other countries on covdi
5,Reporting ,dose china give croretc information to other countries on covdi
6,Reporting ,fare china reach correct information to other countries on covid
7,Reporting ,china give correct information to other countries covid
8,Reporting ,does china guive correct information to auther counries on covid
9,Reporting ,does chi na give corre ct information to ot her countries on covid
0,Reporting ,wGere are we on the covid c&rve now
1,Reporting ,where are we on the coNid curZe now
2,Reporting ,wher are we on the cvid curve now
3,Reporting ,8where are we on the covid curvge now
4,Reporting ,where are we on the ocvid ucrve now
5,Reporting ,where are we on the ocvid ucrve now
6,Reporting ,where are we on the covid curve today
7,Reporting ,where are we covid curve now
8,Reporting ,where arre we on hthe covid curve now
9,Reporting ,w here are we on the covid cur ve now
0,Reporting ,who coviX mortality rate
1,Reporting ,who cofid mortality rate
2,Reporting ,who covid mortality ate
3,Reporting ,who covid mortality frate
4,Reporting ,who covid mortality rtae
5,Reporting ,who covid mortality rtae
6,Reporting ,who covid mortality rate
7,Reporting ,who mortality rate
8,Reporting ,who covid mortality rare
9,Reporting ,who cov id mortality rate
0,Reporting ,why mighg we underestimate the spreAd of covid
1,Reporting ,why migh8 we Fnderes)im^te the spread of covid
2,Reporting ,why mght we underestimate the spread of covi
3,Reporting ,why mighmt we underestimate the spread of cDovid
4,Reporting ,why might we underestimate the spreda of covdi
5,Reporting ,why might we underestimate the spreda of covdi
6,Reporting ,wherefore might we underestimate the spread of covid
7,Reporting ,why we underestimate spread of covid
8,Reporting ,why might we underestimate ther spread off covid
9,Reporting ,why might we u nderestimate the spread of cov id
0,Societal Effects ,could ckvid create w9rld war like conditions
1,Societal Effects ,could covid create wor0d war lize conditions
2,Societal Effects ,could covid crete world war lie conditions
3,Societal Effects ,could covid creaxte worold war like conditions
4,Societal Effects ,could covdi create wordl war like conditions
5,Societal Effects ,could covdi create wordl war like conditions
6,Societal Effects ,could covid create worldly concern war like conditions
7,Societal Effects ,could covid world like conditions
8,Societal Effects ,could'll covid create world was like conditions
9,Societal Effects ,could cov id create w orld war like conditions
0,Societal Effects ,what ne@ds to chanFe once the covid pandemic is oger
1,Societal Effects ,what nee0s to chrnge once the covid pandSmUc is over
2,Societal Effects ,what needs to change onc the coid ndemic is over
3,Societal Effects ,wXhat needs to change once the covVid pandemic is !over
4,Societal Effects ,hwat needs to chagne once the covid pandemic is oevr
5,Societal Effects ,hwat needs to chagne once the covid pandemic is oevr
6,Societal Effects ,what needs to interchange once the covid pandemic is over
7,Societal Effects ,what to change once covid is over
8,Societal Effects ,wat nees to change once d covid pandemic is over
9,Societal Effects ,what n eeds to chan ge once the co vid pandemic is over
0,Societal Effects ,shoHld china cdc (cehter for disease control) be TRsponxible for the putbreZk of covid
1,Societal Effects ,shwuld china cdc (canter for disCNse control) be responsible for the ou6breJk of covid
2,Societal Effects ,should cina cdc (cener for isase control) be responsible for the outbreak of ovid
3,Societal Effects ,ishould china cdc (center for dliseaSse 0coGntrol) be responsible for the SoutbrCeak of covid
4,Societal Effects ,shoudl china cdc (cneter for disease control) be repsoinsble for the utobreak of covid
5,Societal Effects ,shoudl china cdc (cneter for disease control) be repsoinsble for the utobreak of covid
6,Societal Effects ,should china cdc (center for disease ascendance) be responsible for the outbreak of covid
7,Societal Effects ,should china cdc (for disease control) be for the of
8,Societal Effects ,should China cdc (cener for disease [[controled) be respoinsible for the outbreak of covid
9,Societal Effects ,s hould c hina cdc (center for disease c ontrol) be responsible for the o utbreak of covid
0,Societal Effects ,are americans foing to blame trump for the cLvid zituatioB
1,Societal Effects ,are ameriu6ns going to jlame trump for the covid sqtuatisn
2,Societal Effects ,are americans going to blae rump for the cvid situation
3,Societal Effects ,are am)ericaxns going to bla@me trump for the covid YsOituation
4,Societal Effects ,are americans goign to balme trump for the ocvid situation
5,Societal Effects ,are americans goign to balme trump for the ocvid situation
6,Societal Effects ,be americans going to blame trumpet for the covid post
7,Societal Effects ,are americans going to the covid situation
8,Societal Effects ,ares americans going fot blame trump for thw covid situation
9,Societal Effects ,are americans goi ng to blame tr ump for the covid s ituation
0,Societal Effects ,how do you %hink is the new normal goJng to .ook luke in after covid dayZ to come
1,Societal Effects ,how do you think is the new uormal gogng to look likn in aftej covid days to cgme
2,Societal Effects ,how do you think is the new normal gong to look ike in afer ovid dys to come
3,Societal Effects ,how do you hthink is the new normal gHoing to l7ook lik3e in after covid Gdays to come
4,Societal Effects ,how do you think is the new onrmal going to loko like in after coivd adys to ocme
5,Societal Effects ,how do you think is the new onrmal going to loko like in after coivd adys to ocme
6,Societal Effects ,how do you guess is the novel normal fail to look alike in after covid days to come
7,Societal Effects ,do you think is the normal going in after covid days to come
8,Societal Effects ,how ddo you think is el new normaly going to look liike tn after covid days to come
9,Societal Effects ,how do you t hink is the new normal goi ng to look li ke in a fter covid da ys to come
0,Societal Effects ,bave ylur views towards china changed aBter the burst of covid
1,Societal Effects ,have your view7 towards china changed after the furst of cov_d
2,Societal Effects ,have our vews towards china changed after the burst of covi
3,Societal Effects ,have your views towarmdKs china chang9ejd after the bursgt of covid
4,Societal Effects ,have your views towards hcina changed afetr the burst of ocvid
5,Societal Effects ,have your views towards hcina changed afetr the burst of ocvid
6,Societal Effects ,have your panorama towards china changed after the burst of covid
7,Societal Effects ,your towards china changed the burst of covid
8,Societal Effects ,have your veiws towards China changed after the burst iof covid
9,Societal Effects ,have yo ur vie ws towards china changed after the burst of cov id
0,Societal Effects ,will achoo;s be dismissed if therW is an outbreak in my c)Jmunity
1,Societal Effects ,will schools be dismissFC if tyere is an outbreak in my codmuni9y
2,Societal Effects ,wll shols be dismissed if here is an outbreak in my community
3,Societal Effects ,wil8l PsMchools be cdismisIsed if there is an outbreak in my community
4,Societal Effects ,will cshoosl be dismissed if three is an outbreak in my community
5,Societal Effects ,will cshoosl be dismissed if three is an outbreak in my community
6,Societal Effects ,will school be dismissed if there is an outbreak in my biotic community
7,Societal Effects ,will schools be dismissed if there outbreak my community
8,Societal Effects ,will schools be dismissed I there IS an outbreak in ma community
9,Societal Effects ,will sch ools be dismissed if t here is an outb reak in my community
0,Societal Effects ,did the covid pandemic make you realize anything abput yoHDself that you diCnt already kn0w
1,Societal Effects ,did the covid pandemic make you rcalipe anything abo0t y4urseZf that you didnv already know
2,Societal Effects ,did the covid andeic mae you realize anything about yrself that you didnt already kno
3,Societal Effects ,did the covid GpandUemic Ymake you realize anything about yourself that you didnt alre6ad7y kncow
4,Societal Effects ,did the covid apndemci amke you reailez anything about yourself that you didnt arelady know
5,Societal Effects ,did the covid apndemci amke you reailez anything about yourself that you didnt arelady know
6,Societal Effects ,did the covid pandemic make you realize anything astir yourself that you didnt already know
7,Societal Effects ,did the covid make you realize about yourself that you already
8,Societal Effects ,Dad the covid pandemic make you realize thing bhout yourself that you doesn't already know
9,Societal Effects ,did the cov id pandemic make you realize anything ab out you rself that you didnt alr eady know
0,Societal Effects ,how covid !ill change the world
1,Societal Effects ,how Sovid will change the world
2,Societal Effects ,how covid will change the orld
3,Societal Effects ,how covigd will change the world
4,Societal Effects ,how covid will change the wrold
5,Societal Effects ,how covid will change the wrold
6,Societal Effects ,how covid will vary the world
7,Societal Effects ,how covid will change the
8,Societal Effects ,hwo covid will change the world
9,Societal Effects ,how co vid will change the world
0,Societal Effects ,"why m*ght so,eoJe blame or avoid individuals and grou9s (create stigma) becajss of covid"
1,Societal Effects ,why might someone blame or avoid indivitullC and grouXs (cryate stigmh) because of covid
2,Societal Effects ,why might smone blme or avoi individuals and groups (create stigma) ecaus of covid
3,Societal Effects ,why might someone kblame or avoid inodEividFuals and groupws (c5reate stigma) because of covid
4,Societal Effects ,why mgiht someone blame or avoid individuals and gropus (create stigma) bceuase of ocvid
5,Societal Effects ,why mgiht someone blame or avoid individuals and gropus (create stigma) bceuase of ocvid
6,Societal Effects ,why power someone blame or avoid individuals and chemical group (create mark) because of covid
7,Societal Effects ,why might blame or and groups (create) because of covid
8,Societal Effects ,why might someone blame or avoiding individuals and groups (crea stigma) becsuse ow covid
9,Societal Effects ,why mig ht someone blame or a void indivi duals and groups (create stigma) be cause of covid
0,Societal Effects ,wha6 if the us fails to coHtaiH covid
1,Societal Effects ,wh6t if the us fails to comtaiO covid
2,Societal Effects ,wat if the us fails to cnain covid
3,Societal Effects ,what if the us fail)s to contain covihd
4,Societal Effects ,what if the us afils to ocntani covid
5,Societal Effects ,what if the us afils to ocntani covid
6,Societal Effects ,what if the the states fails to contain covid
7,Societal Effects ,what if fails to contain covid
8,Societal Effects ,what is the U.S.A fails to contain covid
9,Societal Effects ,what if the us f ails to conta in covid
0,Societal Effects ,is coBid the end of the c(nse#vatiGe movement in sKerica
1,Societal Effects ,is covid the end of the honMDrvative mo2emhnt in amepiEa
2,Societal Effects ,is coid the end of the onsrvtive moveme in america
3,Societal Effects ,is coqvid the end of the conservative movem9enht in am!ericYa
4,Societal Effects ,is cvoid the end of the conservative movemten in amreiac
5,Societal Effects ,is cvoid the end of the conservative movemten in amreiac
6,Societal Effects ,represent covid the end of the conservative motion in united states of america
7,Societal Effects ,is covid of conservative movement in america
8,Societal Effects ,is covid Then end of they conservative moviment in america
9,Societal Effects ,is covid the end of the cons ervative mov ement in ameri ca
0,Societal Effects ,what are the positive impacts of the covod ctisis
1,Societal Effects ,what are the poBitiFe impacts of the Lovid crisis
2,Societal Effects ,hat are the positive impacts of the covid criis
3,Societal Effects ,what are the positOiWve impacts of the covi%d crisis
4,Societal Effects ,what are the opsitvie impacts of the ocvid crisis
5,Societal Effects ,what are the opsitvie impacts of the ocvid crisis
6,Societal Effects ,what are the prescribed impacts of the covid crisis
7,Societal Effects ,what are the positive impacts of the
8,Societal Effects ,what are the positive impairs 0f the covid crisis
9,Societal Effects ,wh at are the positive impacts of the covid c risis
0,Societal Effects ,will covid end the 1orld
1,Societal Effects ,will covid end the &orld
2,Societal Effects ,will covid end the worl
3,Societal Effects ,will covid end the worlod
4,Societal Effects ,will covid end the wrold
5,Societal Effects ,will covid end the wrold
6,Societal Effects ,will covid end the world
7,Societal Effects ,will covid end the
8,Societal Effects ,will covid end ths world
9,Societal Effects ,will covid end the wo rld
0,Societal Effects ,what wiIl travel looi like after the end of the covOd pandemic
1,Societal Effects ,wXat will travil look like after the end of the coviW pandemic
2,Societal Effects ,wha will travel look ike ater the end of the covid pandemic
3,Societal Effects ,what will trav%el look like afteFr the end of the covid npandtemic
4,Societal Effects ,what will travel look liek after the end of the covid padneimc
5,Societal Effects ,what will travel look liek after the end of the covid padneimc
6,Societal Effects ,what will travel look comparable after the remnant of the covid pandemic
7,Societal Effects ,will like after the end of the covid pandemic
8,Societal Effects ,what will trave loo liks after the end of the covid pandemic
9,Societal Effects ,what w ill travel look like after the end of the c ovid pan demic
0,Societal Effects ,is the usa responsible for coviE or chjna
1,Societal Effects ,is the usa respo8s%bxe for covvd or china
2,Societal Effects ,is the usa responib for covid or hina
3,Societal Effects ,is the usa r!eVsponsiblze for covid or chinfa
4,Societal Effects ,is the usa repsosnilbe for covid or hcina
5,Societal Effects ,is the usa repsosnilbe for covid or hcina
6,Societal Effects ,be the usa responsible for covid surgery china
7,Societal Effects ,the usa responsible for covid or
8,Societal Effects ,is the U.S.A. responsible for covid o china
9,Societal Effects ,is the usa resp onsible for c ovid or china
0,Societal Effects ,will covid oast until eve5y8ne dues and humans go extinct
1,Societal Effects ,will covid list untal everyone dies and Qumans go extinct
2,Societal Effects ,will covd lat until verone dies and humans go extinct
3,Societal Effects ,will Bcovid 8last until everyHon&e dies and humans go extinct
4,Societal Effects ,iwll cvoid last until eveyrnoe dies and humans go extinct
5,Societal Effects ,iwll cvoid last until eveyrnoe dies and humans go extinct
6,Societal Effects ,will covid last until everyone dies and humans conk out extinct
7,Societal Effects ,will covid until everyone dies go extinct
8,Societal Effects ,w'll covid last unitl everyone dies and humans fo extinct
9,Societal Effects ,w ill covid last until everyone d ies and huma ns go extinct
0,Societal Effects ,did cov(d cost trump his second tRrm
1,Societal Effects ,did covid fost trum_ his second term
2,Societal Effects ,did cvid cost trump his secon term
3,Societal Effects ,did coviDd cost trump his second teSrm
4,Societal Effects ,did covid csot trump his second temr
5,Societal Effects ,did covid csot trump his second temr
6,Societal Effects ,did covid price trump his second term
7,Societal Effects ,did cost his second term
8,Societal Effects ,did covid coat trump his second terms
9,Societal Effects ,did cov id cost trump his s econd term
0,Societal Effects ,will covLd kill us all
1,Societal Effects ,will cVvid kill us all
2,Societal Effects ,will covid kil us all
3,Societal Effects ,will covid 2kill us all
4,Societal Effects ,will covdi kill us all
5,Societal Effects ,will covdi kill us all
6,Societal Effects ,will covid kill us all
7,Societal Effects ,will covid kill all
8,Societal Effects ,will covid kill USA all
9,Societal Effects ,will covid k ill us all
0,Societal Effects ,will we get through fovid
1,Societal Effects ,w8ll we get through covid
2,Societal Effects ,will we get trouh covid
3,Societal Effects ,will we get t6hroSugh covid
4,Societal Effects ,will we get through covid
5,Societal Effects ,will we get through covid
6,Societal Effects ,bequeath we get through covid
7,Societal Effects ,will we get through
8,Societal Effects ,will we gget through covid
9,Societal Effects ,will we get throu gh covid
0,Societal Effects ,are we all toing to die of Vovid
1,Societal Effects ,are we all loing to die of covio
2,Societal Effects ,are we all oing to die of coid
3,Societal Effects ,are we all goinmg to die of cjovid
4,Societal Effects ,are we all gonig to die of ocvid
5,Societal Effects ,are we all gonig to die of ocvid
6,Societal Effects ,are we all going to die of covid
7,Societal Effects ,are we all going to of
8,Societal Effects ,are we alo going to dies of covid
9,Societal Effects ,are we all go ing to die of c ovid
0,Societal Effects ,!hat are the new things covid has ta^ght you
1,Societal Effects ,what are the new things Vovid has taugh7 you
2,Societal Effects ,wat are the new things cvid has taught you
3,Societal Effects ,0what are the new things covid has taugSht you
4,Societal Effects ,waht are the new things ocvid has taught you
5,Societal Effects ,waht are the new things ocvid has taught you
6,Societal Effects ,what are the new things covid hold taught you
7,Societal Effects ,what are the new things covid taught
8,Societal Effects ,what are the new thngs covid has tought you
9,Societal Effects ,w hat are the new things cov id has taught you
0,Societal Effects ,if covid gets out of con4Gol in the us is it possible rhat trump #ill declQrr mSrtixl law at soke point
1,Societal Effects ,if co%id gets out of conxrol in the us is it QoWsible that trump wilW declare martiex law at some poinx
2,Societal Effects ,if ovid gets out of conol in the us is it posibe that trup will dclar marta law at some point
3,Societal Effects ,if covid gePts out of control in the us is it possi^blJe that trump _will deVcUlare mYa@rtial law at 2some point
4,Societal Effects ,if covdi egts out of cnotrlo in the us is it possible that trupm will decaler mratila law at some point
5,Societal Effects ,if covdi egts out of cnotrlo in the us is it possible that trupm will decaler mratila law at some point
6,Societal Effects ,if covid get out of control in the us is information technology potential that trump will hold martial law at some point
7,Societal Effects ,covid gets out of control in the us it possible that will declare at some point
8,Societal Effects ,ir covid gets out of controle in the us his ti possible that trump we'll declare marcial law at some point
9,Societal Effects ,if covid ge ts out of co ntrol in the us is it possible th at trump will de clare martial law at so me poi nt
0,Societal Effects ,has president trump railed america ^hTough9ut the covid outbreak
1,Societal Effects ,has bresiden3 trump failed america throughout the co&id outbreak
2,Societal Effects ,has president trmp faied america throughout the covid outbreak
3,Societal Effects ,has president #trump failed america throuJggh*out the covid outbreak
4,Societal Effects ,has president trump failed america htruoghotu the covid toubreak
5,Societal Effects ,has president trump failed america htruoghotu the covid toubreak
6,Societal Effects ,has president of the united states trump die america throughout the covid outbreak
7,Societal Effects ,has president trump failed the covid outbreak
8,Societal Effects ,has pretendant trump failed america throughout rthe covid outbreak
9,Societal Effects ,has presi dent trump fail ed america throughout the covid outbreak
0,Societal Effects ,how has the covid avfeched you
1,Societal Effects ,how has the covid Iffecte5 you
2,Societal Effects ,how has the covid afecte you
3,Societal Effects ,how has the #covid affected you
4,Societal Effects ,how has the covid affetcde you
5,Societal Effects ,how has the covid affetcde you
6,Societal Effects ,how has the covid touch on you
7,Societal Effects ,how has the covid you
8,Societal Effects ,how has the covid affected yuou
9,Societal Effects ,how has the covid a ffected you
0,Societal Effects ,could Xovid wipe out the human rafe
1,Societal Effects ,could Fovid wi$e out the human race
2,Societal Effects ,coud covid wipe out the humn race
3,Societal Effects ,cFould covfid wipe out the human race
4,Societal Effects ,could covid iwpe out the human raec
5,Societal Effects ,could covid iwpe out the human raec
6,Societal Effects ,could covid pass over out the human race
7,Societal Effects ,could covid out the human
8,Societal Effects ,coul covid wipe out the human rice
9,Societal Effects ,could covid wi pe out the hu man race
0,Societal Effects ,is this covjd the behjnning of the end for Amefica as we knLw it
1,Societal Effects ,is this coviU the Neg)nning of the end for nmeriwa as we kn0w it
2,Societal Effects ,is this coid the beginng of the end for mrica as we kow it
3,Societal Effects ,is th_is cov%id the bBeglinning of the end for a9meriYca as we know it
4,Societal Effects ,is this ocvid the beginnign of the end for maeriac as we konw it
5,Societal Effects ,is this ocvid the beginnign of the end for maeriac as we konw it
6,Societal Effects ,is this covid the commencement of the end for america as we have it off information technology
7,Societal Effects ,is this covid beginning the end for america as it
8,Societal Effects ,is thi covid the biggining of the end for america as we knock i
9,Societal Effects ,is t his c ovid the begi nning of the end for a merica as we know it
0,Societal Effects ,what kijd of person will you be aTter the coDid pandemic
1,Societal Effects ,wh!t kiid of person will you be aftTr the covid pandemic
2,Societal Effects ,wha knd of prson will you be after the covid pandemic
3,Societal Effects ,whXat kind of person wiRll you be after the covid pkandekmic
4,Societal Effects ,what kind of person will you be aftre the covid apndmeic
5,Societal Effects ,what kind of person will you be aftre the covid apndmeic
6,Societal Effects ,what kind of person will you be after the covid pandemic
7,Societal Effects ,what kind of person will be after covid
8,Societal Effects ,what kindness of peson will you be after he covid pandemic
9,Societal Effects ,w hat kind of person wi ll you be af ter the covid pandemic
0,Societal Effects ,what would hWppen if trump tests pKs&tive for covid
1,Societal Effects ,what w$uld happen if trump tests pouitHve for covid
2,Societal Effects ,what wuld happe if trump tests positive for covid
3,Societal Effects ,what would happen if trump tests pUositsive for co2vid
4,Societal Effects ,what would happen if trupm tests positive for covdi
5,Societal Effects ,what would happen if trupm tests positive for covdi
6,Societal Effects ,what would happen if trump mental test positive for covid
7,Societal Effects ,what would if tests positive for covid
8,Societal Effects ,what would happen ih trump tests opsitively for covid
9,Societal Effects ,what would happ en if tru mp tests positive for covid
0,Societal Effects ,how mucM of a factor @ill the cofid be in the 2020 presidential slevtion
1,Societal Effects ,how quch of a factor wil& the covid be in the 2020 preAideYtigl election
2,Societal Effects ,how uch of a fctor wil the covid be in the 2020 prsidntal election
3,Societal Effects ,how much of a factor wilZl the wcovid be in the 2020 preseidwenteial elecBt^ion
4,Societal Effects ,how much of a fcator will the ocvid be in the 2002 prsedientila election
5,Societal Effects ,how much of a fcator will the ocvid be in the 2002 prsedientila election
6,Societal Effects ,how much of a factor leave the covid be in the 2020 presidential election
7,Societal Effects ,much of a the covid be in the 2020 presidential
8,Societal Effects ,how much iof a factor will the covid be in tht 2020 presential ellection
9,Societal Effects ,how m uch of a fac tor w ill the covid be in the 2020 presidential e lection
0,Societal Response ,how can the power of artifiXUa; iJtelPigenFe be utilized in f8ghtigg the covid
1,Societal Response ,how can the powe1 of artificial iJtelligej3e be utili1%d in fighting the covid
2,Societal Response ,how can the powr of artiicl intelligence be utilized in igting the covid
3,Societal Response ,how can the power of artificial 6i0ntelliggence be utilized in fi3ghtikng the c9ovid
4,Societal Response ,how can the powre of rtaifciial intelligence be utilized in fighting the covdi
5,Societal Response ,how can the powre of rtaifciial intelligence be utilized in fighting the covdi
6,Societal Response ,how rear end the index of artificial intelligence be utilized in press the covid
7,Societal Response ,how can the of artificial intelligence be utilized the covid
8,Societal Response ,how can the powe ow artificial intelligence ne utilized in fighting the covid
9,Societal Response ,how can the power of artifici al intelligence be utilized in fight ing the c ovid
0,Societal Response ,are you wor$i2d about covid
1,Societal Response ,are you worried aboCt covid
2,Societal Response ,are you worried abut covid
3,Societal Response ,are you worried about covUid
4,Societal Response ,are you worried baout covid
5,Societal Response ,are you worried baout covid
6,Societal Response ,are you distressed about covid
7,Societal Response ,you worried about covid
8,Societal Response ,are toy worried about covid
9,Societal Response ,are you w orried about covid
0,Societal Response ,is there any way to de piiitivize the xovid panFfmic
1,Societal Response ,is where any way to de p1litZciwe the covid da_demic
2,Societal Response ,is thee any way to de politicize the coid paemic
3,Societal Response ,is theYre any way to de pkoli1ticUize the covid pandBem@ic
4,Societal Response ,is there any way to de poltiicize the cvoid apndemci
5,Societal Response ,is there any way to de poltiicize the cvoid apndemci
6,Societal Response ,is there any path to de politicize the covid pandemic
7,Societal Response ,is there to de politicize the covid
8,Societal Response ,is trhere any way tou de politicize de covid pandemic
9,Societal Response ,is there any way to de politi cize the c ovid p andemic
0,Societal Response ,how is the us reaDtiom to the spreaE of the covid d&ffSrent from chiBas
1,Societal Response ,how is the us reaction to the spreaL of the jovid dJsferent from chOnas
2,Societal Response ,how is the us reacti to the spread of the cvid ifferet from chins
3,Societal Response ,how is the us re0actioTn to the spread of the coveid different frTom chinaZs
4,Societal Response ,how is the us reatcino to the sperad of the covid different rfom cihnas
5,Societal Response ,how is the us reatcino to the sperad of the covid different rfom cihnas
6,Societal Response ,how is the us response to the feast of the covid different from chinas
7,Societal Response ,how is us reaction to of covid different from chinas
8,Societal Response ,how is thye use reaction to the spreaded os the covid different from chinas
9,Societal Response ,how is the us r eaction to the spread of the c ovid differ ent f rom chinas
0,Societal Response ,how has ch*na gotten covie under control
1,Societal Response ,how has china gottyn covid undeZ control
2,Societal Response ,how has cina gotten covid nder control
3,Societal Response ,how has chinEa gotten covid under Gcontdrol
4,Societal Response ,how has chnia gotten ocvid under control
5,Societal Response ,how has chnia gotten ocvid under control
6,Societal Response ,how has china gotten covid under control
7,Societal Response ,how china gotten covid under
8,Societal Response ,hou has China gotten covid under control
9,Societal Response ,how has c hina gotten covid und er control
0,Societal Response ,are you afraie of the covid vorus
1,Societal Response ,are you afraid of the 5ovid virut
2,Societal Response ,are you afraid of the cvid virs
3,Societal Response ,are you afraid of the cKovid virous
4,Societal Response ,are you faraid of the covid virsu
5,Societal Response ,are you faraid of the covid virsu
6,Societal Response ,are you afraid of the covid computer virus
7,Societal Response ,are afraid of the virus
8,Societal Response ,ar you''re afraid of the covid virus
9,Societal Response ,are you afraid of the co vid vir us
0,Societal Response ,why is the clvid fatality ra5e so high in the us VoHpared to chiga
1,Societal Response ,why is the 1ovid fatZSity 1ate so hig( in the us compared to china
2,Societal Response ,why is the covi fatality ate so hgh in the us compared to hina
3,Societal Response ,why is the covid f8at9ality r6ate so hiOgh in the us compared to Jchina
4,Societal Response ,why is the ocvid fatality raet so ihgh in the us compared to cihna
5,Societal Response ,why is the ocvid fatality raet so ihgh in the us compared to cihna
6,Societal Response ,why is the covid fatality rate therefore mellow in the america compare to china
7,Societal Response ,why the fatality rate so high in the to china
8,Societal Response ,why is the covid fatality rate so higth un the usa compared to China
9,Societal Response ,why is the co vid fatality r ate so hi gh in the us compar ed to china
0,Societal Response ,why is akericZ r2ady to reopen before a Facc*ne is made for covid
1,Societal Response ,why is america ready to reopen befFre a vIccinp is madM for covid
2,Societal Response ,why is america ready to reopen before a vacci is mde for cvid
3,Societal Response ,why is america redady to reUopen bef+ore a vaccine is made for covid
4,Societal Response ,why is america ready to reopne bfeore a avccien is made for covid
5,Societal Response ,why is america ready to reopne bfeore a avccien is made for covid
6,Societal Response ,why is america ready to reopen before a vaccinum is made for covid
7,Societal Response ,why is america ready to before vaccine is for covid
8,Societal Response ,why is america ready to reopen before a vaccine us make vor covid
9,Societal Response ,why is america re ady to reopen before a v accine is ma de for covid
0,Societal Response ,why d)es covid cpread fast in the usa what mzkes it worse
1,Societal Response ,why +oes cov5d spread fast in the usa what makes it wor%e
2,Societal Response ,why oes covid spread fast in the usa what make it wors
3,Societal Response ,why does covid spread fAast in the usa whEat makes it worSse
4,Societal Response ,why odes covid spread fast in the usa what maeks it wosre
5,Societal Response ,why odes covid spread fast in the usa what maeks it wosre
6,Societal Response ,wherefore does covid spread fast in the usa what prepare it bad
7,Societal Response ,why covid fast in the usa what it worse
8,Societal Response ,why Dos covid spread fast ein tge usa what makes it worse
9,Societal Response ,why d oes cov id spread fast in the usa what makes it wor se
0,Societal Response ,have cov7d checks been sent
